sample2		0.95	FRS2->PIK3CD	1	[0.95]	1	[2]
sample2		0.8968612208731239	FRS2->PIK3C3->PLCE1<-PIK3CD	1	[0.95 0.9716297870199024 0.9716297870199024]	1	[2 2 2]
sample2		0.8803157367601526	FRS2->PIK3C3<-PLCE1<-PIK3CD	1	[0.95 0.9537049566998035 0.9716297870199024]	1	[2 2 2]
sample2		0.8803157367601525	FRS2->PIK3C3->PLCE1->PIK3CD	1	[0.95 0.9716297870199024 0.9537049566998035]	1	[2 2 2]
sample2		0.6693186756388644	FRS2->SRC->RALA->KRAS<-PLCE1<-PIK3CD	1	[0.85 0.9716297870199024 0.9432595740398049 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.6693186756388644	FRS2->SRC->RALA->KRAS->PLCE1<-PIK3CD	1	[0.85 0.9716297870199024 0.9432595740398049 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.6569709441765578	FRS2->SRC->RALA->KRAS->PLCE1->PIK3CD	1	[0.85 0.9716297870199024 0.9432595740398049 0.8842623917495087 0.9537049566998035]	1	[2 2 2 2 2]
sample2		0.6438804526489461	FRS2->SRC->RALA<-KRAS<-PLCE1<-PIK3CD	1	[0.85 0.9716297870199024 0.907409913399607 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.6438804526489461	FRS2->SRC<-RALA<-KRAS<-PLCE1<-PIK3CD	1	[0.85 0.9716297870199024 0.907409913399607 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.5656107352887061	FRS2->MAPK3->ARAF<-KRAS<-PLCE1<-PIK3CD	1	[0.75 0.9432595740398049 0.9305574350497052 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.5358421700803624	FRS2->MAPK1->ARAF<-KRAS<-PLCE1<-PIK3CD	1	[0.7 0.9574446805298537 0.9305574350497052 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.451339427765268	FRS2->MAPK3->ARAF->KRAS->PLCE1<-PIK3CD	1	[0.75 0.9432595740398049 0.7425553194701463 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.451339427765268	FRS2->MAPK3->ARAF->KRAS<-PLCE1<-PIK3CD	1	[0.75 0.9432595740398049 0.7425553194701463 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.4430130232359498	FRS2->MAPK3->ARAF->KRAS->PLCE1->PIK3CD	1	[0.75 0.9432595740398049 0.7425553194701463 0.8842623917495087 0.9537049566998035]	1	[2 2 2 2 2]
sample2		0.4275850568732996	FRS2->MAPK1->ARAF->KRAS<-PLCE1<-PIK3CD	1	[0.7 0.9574446805298537 0.7425553194701463 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.4275850568732996	FRS2->MAPK1->ARAF->KRAS->PLCE1<-PIK3CD	1	[0.7 0.9574446805298537 0.7425553194701463 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.4196968779658051	FRS2->MAPK1->ARAF->KRAS->PLCE1->PIK3CD	1	[0.7 0.9574446805298537 0.7425553194701463 0.8842623917495087 0.9537049566998035]	1	[2 2 2 2 2]
sample2		0.4155774864918616	FRS2->MAPK1<-ARAF<-KRAS<-PLCE1<-PIK3CD	1	[0.7 0.7425553194701463 0.9305574350497052 0.8842623917495087 0.9716297870199024]	1	[2 2 2 2 2]
sample2		0.9858148935099512	PIK3CD->FRS2	1	[0.9858148935099512]	1	[2]
sample2		0.9135035413572042	PIK3CD->PLCE1->PIK3C3->FRS2	1	[0.9716297870199024 0.9537049566998035 0.9858148935099512]	1	[2 2 2]
sample2		0.8968612208731239	PIK3CD->PLCE1<-PIK3C3<-FRS2	1	[0.9716297870199024 0.9716297870199024 0.95]	1	[2 2 2]
sample2		0.8803157367601525	PIK3CD->PLCE1->PIK3C3<-FRS2	1	[0.9716297870199024 0.9537049566998035 0.95]	1	[2 2 2]
sample2		0.7252704873951621	PIK3CD->PLCE1->KRAS->RALA->SRC->FRS2	1	[0.9716297870199024 0.8842623917495087 0.907409913399607 0.9716297870199024 0.9574446805298537]	1	[2 2 2 2 2]
sample2		0.6693186756388645	PIK3CD->PLCE1<-KRAS<-RALA<-SRC<-FRS2	1	[0.9716297870199024 0.8842623917495087 0.9432595740398049 0.9716297870199024 0.85]	1	[2 2 2 2 2]
sample2		0.6693186756388645	PIK3CD->PLCE1->KRAS<-RALA<-SRC<-FRS2	1	[0.9716297870199024 0.8842623917495087 0.9432595740398049 0.9716297870199024 0.85]	1	[2 2 2 2 2]
